month_date,state,maker,powertrain,registrations
2026-05-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),235
2026-06-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),75
2026-04-01,Chhattisgarh,TESLA INDIA MOTORS AND ENERGY PVT LTD,Electric (EV),1
2026-01-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),4
2026-02-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),9
2026-03-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),8
2026-04-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),7
2026-05-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),8
2026-06-01,Chhattisgarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),3
2026-01-01,Chhattisgarh,VOLVO AUTO INDIA PVT LTD,Electric (EV),1
2026-03-01,Chhattisgarh,VOLVO AUTO INDIA PVT LTD,Electric (EV),1
2026-05-01,Chhattisgarh,VOLVO AUTO INDIA PVT LTD,Electric (EV),2
2026-01-01,Dadra and Nagar Haveli and Daman and Diu,BYD INDIA PRIVATE LIMITED,Electric (EV),1
2026-02-01,Dadra and Nagar Haveli and Daman and Diu,JSW MG MOTOR INDIA PVT LTD,Electric (EV),2
2026-04-01,Dadra and Nagar Haveli and Daman and Diu,JSW MG MOTOR INDIA PVT LTD,Electric (EV),4
