Month,State,Maker (legal entity),Powertrain,Registrations,Brand,Parent Group,Origin Country,Region,State Code,State or UT,Map Location,Month Name,Month Number,Quarter,Days Covered,Is Partial Month,Is EV
2026-05-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,28,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,11,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,47,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,43,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,31,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,33,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,27,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,JSW MG MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,15,MG,JSW-SAIC,India / China,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,1680,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,1357,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,1287,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,1161,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,1074,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,KIA INDIA PRIVATE LIMITED,Petrol/Diesel/CNG/Hybrid,535,Kia,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,4590,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,4365,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,4621,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,4592,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,3480,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,MAHINDRA & MAHINDRA LIMITED,Petrol/Diesel/CNG/Hybrid,1786,Mahindra,Mahindra,India,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,6900,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,5138,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,4982,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,4863,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,4603,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,MARUTI SUZUKI INDIA LTD,Petrol/Diesel/CNG/Hybrid,2878,Maruti Suzuki,Suzuki,Japan,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,MERCEDES-BENZ AG,Petrol/Diesel/CNG/Hybrid,1,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,MERCEDES-BENZ AG,Petrol/Diesel/CNG/Hybrid,2,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,MERCEDES-BENZ AG,Petrol/Diesel/CNG/Hybrid,2,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,MERCEDES-BENZ AG,Petrol/Diesel/CNG/Hybrid,3,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-06-01,Punjab,MERCEDES-BENZ AG,Petrol/Diesel/CNG/Hybrid,1,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,29,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,34,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,30,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,26,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,25,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,MERCEDES-BENZ INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,18,Mercedes-Benz,Mercedes-Benz,Germany,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,61,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,62,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,78,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,93,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,70,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,NISSAN MOTOR INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,47,Nissan,Nissan,Japan,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,PORSCHE AG GERMANY,Petrol/Diesel/CNG/Hybrid,3,Porsche,Volkswagen Group,Germany,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,PORSCHE AG GERMANY,Petrol/Diesel/CNG/Hybrid,1,Porsche,Volkswagen Group,Germany,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,PORSCHE AG GERMANY,Petrol/Diesel/CNG/Hybrid,2,Porsche,Volkswagen Group,Germany,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
